	GSM2857543_M-17-1.CEL	GSM2857544_M-17-2.CEL	GSM2857545_M-17-3.CEL	GSM2857546_S-17-1.CEL	GSM2857547_S-17-2.CEL	GSM2857548_S-17-3.CEL	GSM2857549_C-17-1.CEL	GSM2857550_C-17-2.CEL	GSM2857551_C-17-3.CEL	GSM2857552_M-24-1.CEL	GSM2857553_M-24-2.CEL	GSM2857554_M-24-3.CEL	GSM2857555_S-24-1.CEL	GSM2857556_S-24-2.CEL	GSM2857557_S-24-3.CEL	GSM2857558_C-24-1.CEL	GSM2857559_C-24-2.CEL	GSM2857560_C-24-3.CEL	GSM2857561_M-49-1.CEL	GSM2857562_M-49-2.CEL	GSM2857563_M-49-3.CEL	GSM2857564_S-49-1.CEL	GSM2857565_S-49-2.CEL	GSM2857566_S-49-3.CEL	GSM2857567_C-49-1.CEL	GSM2857568_C-49-2.CEL	GSM2857569_C-49-3.CEL
Solyc00g005050.2	8.183520657	8.554150074	8.25766723	7.226215409	7.781497015	8.351021915	8.222967784	8.360920738	8.249637214	8.137522382	8.322453102	7.56069545	8.924723787	8.425083086	7.781146337	8.041653257	8.20464519	8.205653585	7.358620393	7.654497545	8.123066457	7.368483883	7.77613018	8.121704394	8.104069065	8.048973857	7.620449544
Solyc00g005070.1	10.59274809	10.42140304	11.11360219	11.54554706	11.11650092	10.62445758	10.85785544	11.04223474	10.9665225	10.77021592	10.69006972	11.39281706	10.8208353	11.19460916	10.85785544	11.12054476	10.85557123	11.18103508	11.39826412	10.84904511	10.69185559	11.57201699	11.38338274	11.15189537	10.86627299	11.089914	11.35213666
Solyc00g005440.1	8.711091008	8.573477402	9.128709197	10.19785729	9.547240719	8.836628847	8.772528881	9.077403787	9.558327294	8.818059433	8.748335106	9.528629511	8.627748443	9.242695964	9.45847945	9.106863215	8.631908687	8.9977727	9.426550623	9.174590043	8.842791511	9.702982403	9.111351431	9.020565147	9.391498665	9.39621639	9.241151818
Solyc00g006470.1	10.48873787	10.71239317	10.68877769	10.53321463	10.64585029	10.79778103	10.52028359	10.6860581	11.14067861	11.01131125	11.02851273	10.70256036	11.10628608	11.00777195	10.74143622	10.63248719	10.74633274	10.47366064	10.21285069	10.34519119	10.35245628	11.91152589	10.97909477	11.00317421	10.8689913	10.80578982	10.50473157
Solyc00g006690.2	10.48873787	10.71239317	10.68877769	10.53321463	10.64585029	10.79778103	10.52028359	10.6860581	11.14067861	11.01131125	11.02851273	10.70256036	11.10628608	11.00777195	10.74143622	10.63248719	10.74633274	10.47366064	10.21285069	10.34519119	10.35245628	11.91152589	10.97909477	11.00317421	10.8689913	10.80578982	10.50473157
Solyc00g006800.2	8.96223226	8.834930425	9.364293141	9.405939416	9.987321758	9.676259091	8.89711681	8.926264619	9.043800341	9.696666739	9.679244529	9.581902817	10.02085455	10.2366875	9.836552259	9.341015081	9.331948138	9.417659635	9.74823682	10.09944204	9.919550318	10.36115325	10.17678321	10.13590894	9.778544745	9.663349993	9.622312978
Solyc00g006810.2	7.525287553	7.611796644	7.184520329	6.933523629	6.826186631	7.24775892	7.132380587	7.263272257	7.373658971	7.266879929	7.379750279	6.674478505	6.3969305	6.520156613	6.784842789	7.127266607	7.60523374	7.412387658	6.404288788	6.292388525	6.330206575	5.851639747	6.074844206	6.192950337	6.654974227	6.941257302	6.635627012
Solyc00g007060.2	5.712645832	6.072309657	5.490328633	4.437892656	5.048994462	5.910102769	5.456176204	5.235217732	5.355107958	5.474628135	5.457544824	4.752903002	5.762915501	4.973369305	4.59589692	5.404321068	5.840691606	5.385967291	4.517391546	4.886303352	5.295931337	4.487181144	4.701551192	5.651961076	5.0698582	5.12989216	4.700729067
Solyc00g007070.2	8.247421174	8.476457608	7.867526668	6.56159949	7.279674252	7.785221697	8.417876205	8.063488568	7.958995756	8.001218557	8.127088068	7.339456934	8.611630931	7.929167175	7.360966104	7.988650111	8.140105845	7.905124624	7.287257357	7.420467029	8.085635404	7.293930188	7.650169715	7.629411514	8.355624529	8.54439906	7.608228909
Solyc00g007090.2	7.412045478	7.575007405	7.794371327	7.780957359	7.557111687	7.583196341	7.556106092	7.684359305	7.944133022	7.452380274	7.595620257	7.945428843	6.999180184	7.372468406	7.557111687	7.686426428	7.717684673	7.723248441	7.800037767	7.615788073	7.574569217	7.466996414	7.667338995	7.305729563	7.660422895	7.708123954	7.444670526
Solyc00g007270.2	11.92030845	12.09238719	11.99933155	11.09330169	11.64507162	11.78135387	11.89566837	11.96149985	11.79850205	11.97403206	12.00827244	11.68221664	12.21932977	12.19791639	11.54136565	11.76421314	11.82809672	11.92557392	11.60477098	11.78232367	12.11687495	11.79991875	11.76025731	12.19607254	11.63091048	11.92699577	11.84809866
Solyc00g008680.2	9.789577912	9.869706283	9.946277435	9.514116276	9.74683061	10.03804505	9.900221019	9.877648562	9.993642543	9.668955374	9.78416837	9.543666494	9.686456415	9.686903764	9.584375449	9.720404455	9.918473162	9.788593052	9.672792107	9.920758419	9.896657931	9.572627829	9.659569683	9.920758419	9.843261085	9.890128442	9.49719053
Solyc00g009020.2	11.37920615	11.43863926	11.40700625	11.81551895	11.89910037	11.63934626	11.26212188	11.37484985	11.46558738	11.54406323	11.50057835	11.56817487	11.60037804	11.55325157	11.71536839	11.20103049	11.32692842	11.32978246	11.47760863	11.37077796	11.11615367	11.32852077	11.30082842	11.47194627	11.15489254	10.96389719	11.11557006
Solyc00g009090.2	4.511926099	4.550757224	4.738670805	6.173982229	5.478899138	4.26941886	2.930229917	3.568492356	3.830705757	4.664691591	5.459122514	6.302315407	4.07046068	3.767070852	7.034980407	4.899247903	4.126716317	4.349825521	5.525853518	6.558144245	5.474648502	5.171256852	5.541490183	4.567046128	4.533371641	3.68387396	5.568442605
Solyc00g009130.2	5.80072985	5.84889826	4.729719447	3.475938823	4.456154764	4.741710038	6.053381043	5.805999378	5.305785817	5.476483776	5.149395075	4.101415367	5.937278406	4.688166497	4.255730912	4.959294154	5.062787675	5.51582035	4.445204879	4.504545958	5.503841415	4.734650496	4.497636883	4.985847012	4.868414307	5.286355628	5.090424237
Solyc00g010520.1	5.304289486	4.357420169	4.654112869	5.458002615	4.728797271	4.635055048	4.46227447	4.776193416	5.508498032	4.124663178	5.369773107	6.165460367	4.438018728	5.117420022	5.060784418	6.434679409	5.251098982	6.719023432	7.056936591	7.78590275	6.651337439	5.357813326	6.379902896	5.648252867	6.757978002	6.16835604	5.476976318
Solyc00g011170.1	11.44446954	11.5494377	11.53521623	11.36325188	11.48169485	11.22565174	11.47029626	11.54826497	11.73716936	11.30129025	11.40220406	11.28981196	11.55857479	11.62255183	11.55791203	11.45610329	11.06676828	11.26068814	11.0980633	11.09896511	11.26750663	11.80180333	11.8071957	11.50963495	11.58933348	11.6201039	11.40481101
Solyc00g011880.2	4.458752999	4.398607997	4.545451061	4.240943514	4.813144157	4.392872998	4.220100949	4.381881125	4.399570074	4.655892485	4.456496165	4.645435137	4.390602666	4.513826075	4.304219453	4.575006963	4.84967737	4.917540475	4.41731483	3.832589467	4.015897046	4.345872281	4.134857226	4.792021423	4.015752834	4.061754324	4.185755579
Solyc00g011890.2	6.318127973	6.314926776	5.659090639	4.162002527	4.930334266	5.563851033	6.614652352	5.974467593	5.716270688	5.726183835	5.738929306	4.535417925	6.701237752	5.442191126	4.80257658	5.295609508	5.792838106	5.362843185	4.721492087	4.900617736	5.199229821	4.621080207	4.824415386	5.010823626	5.478819001	6.202246847	4.266837448
Solyc00g012440.1	11.70522126	11.76635754	11.90980423	11.92484059	11.97013833	11.19048583	11.82291024	11.75644206	11.79026686	11.04371653	11.25924576	11.61562486	11.34710359	11.72331591	11.91757323	11.62833963	10.79327869	11.47218064	11.32323774	11.23140705	11.46620826	11.74274101	12.05998773	11.43199795	11.56469894	11.55876377	11.68924742
Solyc00g017530.1	3.130367664	3.416393024	3.291409331	4.009957006	3.489259002	3.255989329	3.123463922	3.33779573	3.212624817	3.159007076	3.19236031	3.25307476	3.060701563	3.503895142	3.490099035	3.311777174	3.12748551	3.165540855	3.580974445	3.228836347	3.044142893	3.306272278	3.166523403	3.178301053	3.260932191	3.127895661	3.328403202
Solyc00g019730.1	10.70890394	10.73291039	9.778529295	6.455988034	8.007065787	9.677566596	10.65311364	10.31249032	9.722409589	10.21291936	10.11241808	8.158961085	11.23016072	9.711516386	8.674493428	9.62743376	9.959148285	9.481930495	8.18866437	9.058386965	10.06030578	7.563097569	8.94219546	9.2874846	9.968739271	10.33522524	8.687361069
Solyc00g019740.1	8.492905372	8.781523325	6.825240612	6.184229423	6.317329387	6.853885222	8.945908513	7.418139805	6.824305112	7.777077152	7.25875343	6.741328487	9.605918744	7.231380062	7.02083805	6.881010762	7.211115562	6.61270934	6.698404204	7.176953624	7.585358041	7.320470926	7.5888063	7.469677488	7.761815164	7.933366024	7.034962767
Solyc00g024150.2	9.666784543	9.597852741	9.13521893	8.681054362	8.660252561	9.324385152	9.612172034	9.611478528	9.956440998	9.089557089	9.123619186	8.300985189	8.846190734	8.544103553	8.704535012	9.37885171	9.596712548	9.149626881	8.255178925	8.066519371	8.24864747	7.555935228	8.005001722	8.0457572	9.41442431	9.293296744	8.647477448
Solyc00g026160.2	2.745070938	3.222513123	3.258871458	3.923233355	4.012753748	3.475086803	3.108551193	3.282609706	3.741756525	3.182519985	3.249752798	4.180679167	3.29254493	3.103998489	3.913548007	3.753534745	3.147165072	3.579152846	3.497533686	3.836123415	3.717288923	3.920844607	4.197407478	3.697521674	3.417921229	3.052290388	3.647572668
Solyc00g027770.2	5.163516318	5.450877845	4.468218383	3.217789336	3.726341321	4.964033315	5.685050586	4.749019102	4.86547692	5.13333338	4.938987336	3.92257463	6.396173646	4.499141721	4.153101534	4.71936008	5.048450681	4.833449161	3.902964422	4.218867249	4.903868473	3.631029705	3.820131824	4.536154436	5.099679361	5.1307538	3.700325373
Solyc00g033460.2	2.762336085	2.612847772	2.779028212	3.178830639	3.025806315	2.520345221	2.812971352	2.756489469	2.930760808	2.922830682	2.518487274	2.9694092	2.703236373	2.754258238	3.082847146	3.112517622	2.724987914	2.759195142	3.800121604	3.454263273	3.308480387	2.776460621	3.319749364	2.966747894	3.211951013	2.85117738	3.068588606
Solyc00g036540.1	13.04594855	13.06822831	12.68414669	10.58596236	11.65230766	12.62599497	13.1164342	12.96274407	12.81544625	12.79065447	12.49901701	10.99207414	12.93818757	11.86398821	11.50708724	12.51762045	12.67030526	12.54087189	11.55944259	11.90716764	12.25793753	10.13840317	11.32496821	11.5860781	12.92784332	13.01468404	11.82847774
Solyc00g039990.2	7.478750745	7.420998852	7.495996665	7.877102903	7.669083479	7.331494232	6.766408089	7.052124216	7.271294466	7.866155345	7.893562416	7.848104344	6.686486581	7.560455015	8.122511078	7.7256704	7.251135104	7.64219945	7.634815554	8.241706393	7.684116672	7.910640724	7.618100003	8.017274773	7.145223569	7.248722291	7.92150757
Solyc00g044750.1	7.540587438	7.650569392	7.829463424	7.28798438	7.299025069	7.771072812	7.668542411	7.790535154	8.056246868	7.705818783	7.785049747	7.624683867	7.431448443	7.531938484	7.618801545	8.084925543	8.2808168	8.088676371	7.789307742	7.905898672	7.788326111	7.481992754	7.57810089	7.668609307	8.359144378	7.952499027	7.687492675
Solyc00g052940.2	6.30269504	6.247840482	4.873517931	4.415935507	4.296427806	5.334670379	5.967611406	5.313860224	5.426062396	5.774487626	5.570735475	4.590589407	6.241243403	4.759143122	4.161909567	5.151529334	5.886440206	4.987633872	4.491215579	4.537574278	5.116865429	3.519564541	4.274593168	4.619900465	5.741182051	5.465518152	4.388953683
Solyc00g066150.1	5.259324443	5.10221355	3.984812672	3.101053941	3.201864795	4.060409874	5.384228245	4.799886022	4.677521925	4.474521437	4.491609633	3.845561942	5.567837837	4.423839257	3.548208795	3.750910414	5.004884354	3.983051462	3.599154616	3.388351362	4.113770391	2.932314326	3.557241894	3.416441817	4.344159426	5.457707128	3.430406166
Solyc00g067470.1	9.360499113	8.924220879	9.758534614	9.751131783	10.08595232	9.453513336	9.411945076	9.639628205	9.769964086	9.66457786	9.54066992	10.06218791	9.609676394	9.94014469	9.591896292	9.865126624	9.962157524	10.02459116	9.848042699	9.749196763	9.584046318	10.35173123	10.20027547	9.95584699	9.938717965	9.827469045	10.13455552
Solyc00g068970.2	11.18371781	11.33251786	11.16062823	10.80166316	10.99325137	11.26081765	11.11768228	11.34008787	11.68407186	11.55886397	11.54516235	10.96399905	11.77004598	11.52178774	11.19825083	11.28386694	11.34025787	11.04919564	10.87288885	10.96652317	11.06880499	11.86086566	11.55440367	11.58727194	11.61396802	11.68144402	11.12037459
Solyc00g068980.1	10.83622784	11.02245552	10.92470296	10.6674389	10.81955083	11.02929934	10.81898294	11.01307298	11.41237523	11.28508761	11.28683754	10.8332797	11.43816603	11.26477985	10.96984353	10.95817707	11.04329531	10.76142814	10.54286977	10.65585718	10.71063064	11.88619578	11.26674922	11.29522308	11.24147966	11.24361692	10.81255308
Solyc00g071180.2	4.503047654	3.574898242	3.810142429	3.95387959	3.742410008	3.137815207	3.034088867	2.885146943	3.226474242	4.079991263	5.022165567	3.544257223	4.533534193	7.09137018	6.130388701	4.461173891	4.262209875	3.350188926	6.278726536	9.233057668	6.097247039	9.39909784	7.876439483	4.946642013	8.04101997	6.119330793	5.431148593
Solyc00g072400.2	2.693178889	2.826137858	3.201217843	3.928158633	3.624328375	2.87258413	2.819065923	3.03866199	3.278806658	2.852893863	3.116068766	3.309036888	2.869617209	3.076042332	3.152718626	3.192923246	3.191124963	3.022208139	3.638870486	3.054579332	3.065019547	3.772266963	2.918785449	3.093576547	3.365396888	2.88391079	3.182051937
Solyc00g072800.2	12.18721572	12.19261533	11.98234287	12.53753038	12.45831583	12.33017463	12.08922186	12.11241442	12.34313312	12.28336282	12.30209318	12.42771617	11.46094311	11.36316847	12.15497435	12.48028476	12.33881097	12.28111725	12.23835169	11.64923211	11.60450792	10.83383645	11.55676187	11.55396764	12.18869136	11.9668483	12.32985779
Solyc00g082150.2	10.19098209	10.06640069	10.26273838	9.681134108	9.5446757	10.02540914	10.38698227	10.3130032	10.41762611	9.878817066	10.11517734	10.07971548	10.06418517	9.928168984	9.911483247	10.43347635	10.42004119	10.45610722	10.42792709	10.46404183	10.62821573	9.865257187	10.48384326	10.07079241	10.50464466	10.559879	10.41971463
Solyc00g084870.2	5.45496088	5.046197762	6.340508916	7.849959803	7.309796958	5.903267961	5.750714124	6.20628868	6.111384754	5.932179289	5.897780148	6.90574861	5.71670194	7.288577262	7.361565036	6.235410286	5.650976022	6.277860278	6.993874197	6.889632285	5.929064668	7.516015436	6.629490242	6.269954643	5.759364411	6.049379659	6.942353533
Solyc00g085070.2	9.918997949	9.426418275	9.647548721	9.782955185	9.819260853	9.797024019	9.987441194	10.16678612	10.16109898	9.887940284	9.754812426	9.849390152	9.751336866	9.75694772	10.14496212	9.867161925	9.574780114	9.570335092	10.4808687	10.12246552	10.24562534	10.05861814	10.10455236	10.16429032	10.76655133	10.84204321	10.41568659
