	GSM3038876_M-17-1.CEL	GSM3038877_M-17-2.CEL	GSM3038878_M-17-3.CEL	GSM3038879_S-17-1.CEL	GSM3038880_S-17-2.CEL	GSM3038881_C-17-1.CEL	GSM3038882_C-17-2.CEL	GSM3038883_C-17-3.CEL	GSM3038884_M-24-1.CEL	GSM3038885_M-24-2.CEL	GSM3038886_M-24-3.CEL	GSM3038887_S-24-1.CEL	GSM3038888_S-24-2.CEL	GSM3038889_S-24-3.CEL	GSM3038890_C-24-1.CEL	GSM3038891_C-24-2.CEL	GSM3038892_C-24-3.CEL	GSM3038893_M-49-1.CEL	GSM3038894_M-49-2.CEL	GSM3038895_M-49-3.CEL	GSM3038896_S-49-1.CEL	GSM3038897_S-49-2.CEL	GSM3038898_S-49-3.CEL	GSM3038899_C-49-1.CEL	GSM3038900_C-49-2.CEL	GSM3038901_C-49-3.CEL
Solyc00g005050.2	8.894695344	8.558872323	7.919892298	7.670924002	8.588995158	8.964396346	8.929806371	7.904443113	9.282241833	9.134149637	8.923346903	8.89661819	8.739602331	8.883910766	8.833503898	7.493335243	8.610773877	9.319318855	8.443932719	8.115758224	8.599870583	8.765399591	9.162174652	9.186401004	9.178454036	9.13594665
Solyc00g005070.1	10.89597781	10.91868443	10.69383129	11.45878374	10.53677123	10.77717264	10.86767021	10.74216508	9.709726929	10.20246427	10.6332007	10.43434017	10.92218229	9.691017135	10.59440711	11.5028311	11.14391178	10.85899357	10.54947284	10.97577907	10.83117592	10.77545972	10.46098316	10.61244605	9.642072633	10.51422401
Solyc00g005440.1	8.792143879	9.625216771	10.08689881	10.42837871	9.703779353	8.798912644	8.491758925	9.592831963	9.075007147	8.604356657	9.195325673	9.204496158	9.347702391	8.927075713	8.525103747	9.995485181	9.250149382	8.573447538	9.327029725	9.821713323	9.114365194	9.138509604	8.750753772	9.078902982	8.889862108	9.266882378
Solyc00g006470.1	11.87306435	12.29356163	12.31615814	12.14814399	12.39017762	12.06525831	12.18181247	11.63482387	12.48862116	11.84194553	11.70531652	11.65571514	12.49461845	11.79750708	11.56130717	11.95829762	11.76097158	12.07583807	12.00450095	11.69522644	12.3458504	12.11808109	12.17455122	12.17088845	12.28810576	12.37044164
Solyc00g006690.2	11.87306435	12.29356163	12.31615814	12.14814399	12.39017762	12.06525831	12.18181247	11.63482387	12.48862116	11.84194553	11.70531652	11.65571514	12.49461845	11.79750708	11.56130717	11.95829762	11.76097158	12.07583807	12.00450095	11.69522644	12.3458504	12.11808109	12.17455122	12.17088845	12.28810576	12.37044164
Solyc00g006800.2	11.64977418	11.93255531	11.61608737	11.46262225	11.85595723	11.74844758	12.29849626	11.39894497	12.07255488	12.36322637	12.2272294	12.36291504	11.64622806	12.05702996	11.87951494	11.18922487	11.87745126	12.1684224	11.8675365	11.37575491	11.56281679	11.74991344	11.90799822	11.79543184	11.62697271	12.00064044
Solyc00g006810.2	4.375887078	4.448231699	4.465210171	5.078862583	4.302792837	4.751515454	4.965589134	4.822292426	4.286097506	4.578096076	4.396508815	4.169376669	5.011788735	4.490331981	4.521420164	5.506688458	4.927024802	4.943961975	5.128438791	4.729059203	4.40241286	4.955533772	4.990571539	4.293267221	4.586741075	4.276243914
Solyc00g007060.2	6.15297096	5.91969038	5.124169401	4.230224082	5.829024382	6.562537841	7.045515408	5.713662582	6.854573557	6.275042774	5.952358879	5.876897143	5.834442173	6.45072091	7.207514912	5.032801536	6.043904503	6.455782332	5.812525991	5.809094753	6.11422658	6.075583094	6.55227956	6.2064282	6.197607844	6.653627396
Solyc00g007070.2	8.795408946	8.458450898	8.04783914	7.59023579	8.309477924	8.839022605	8.995840604	7.953997267	9.070944466	8.938302996	8.527878197	8.55764607	8.468498941	8.699419227	9.024480543	7.850405957	8.322229841	8.63234506	8.404453897	7.855459439	8.323693618	8.522771903	9.349490601	9.197262487	9.189005807	8.637495682
Solyc00g007090.2	7.579994462	7.749049445	7.682106221	7.934505513	7.657920339	7.338411005	7.328596249	7.667659444	7.358285739	7.676638817	7.745175057	7.554941989	7.488204209	7.408980847	7.268312999	8.071150335	7.539475669	7.417928659	7.44344587	7.593824622	7.541445907	7.388584925	7.104254646	7.224313638	7.480643837	7.483080493
Solyc00g007270.2	11.77553098	11.96303054	11.49657198	11.42180235	11.84870521	12.30930068	12.32338865	11.54732096	12.07131891	12.08065505	11.95082844	11.94904987	12.10773196	11.79310883	12.36127134	12.00996347	12.34223889	12.01197197	11.98191325	11.60111667	11.83504653	12.01300115	12.21057049	11.83496087	11.91776593	12.06536176
Solyc00g008680.2	10.57479427	9.97633557	10.05891748	9.658902467	10.08190785	9.924275906	9.961516167	9.792639523	10.16926162	10.17359193	10.14710903	10.14540065	9.938814559	10.21233432	9.932275428	9.856613752	9.86927217	10.01715378	9.949649716	10.02219608	10.07768043	10.11241075	10.07000664	10.44879857	10.53639092	10.06126925
Solyc00g009020.2	11.78058441	11.31425629	11.79506777	11.83969348	11.47805568	11.51564798	11.26845408	11.47903876	11.20629113	11.34313536	11.32617012	11.3292835	11.7542107	11.5207996	11.16851557	11.52168458	11.50563817	11.77614664	11.92288593	11.64769773	11.57164926	11.72702892	11.32581357	11.63120601	11.66802688	11.46073664
Solyc00g009090.2	8.018896588	5.772667425	7.695639097	7.899319589	6.800336569	6.476080504	3.876877229	6.697537733	5.757256647	5.837365029	6.779451279	5.849726147	4.690806732	6.297035675	4.076411154	6.049313995	5.596087585	5.075978756	6.120952239	7.082538101	7.056511691	6.101262942	5.444461166	7.583180609	7.39866412	5.5140369
Solyc00g009130.2	4.697637418	3.631476108	3.072975263	3.612638854	3.498257331	5.028816151	5.681869915	5.071697248	3.950678355	3.404571164	3.655035498	3.743769837	3.851437273	4.647747256	6.264161605	4.087723641	4.224011892	3.994412561	3.671428324	4.31052927	4.834865084	4.38702722	4.660847836	5.466749061	4.76855589	4.373479094
Solyc00g010520.1	6.005941297	6.815196429	9.80075552	9.646352859	9.569929291	10.26069043	8.816016865	10.96431805	7.058364538	10.54416876	9.574555659	10.35292703	8.779854027	6.79493776	7.309160877	6.897014635	8.698906944	8.631009115	9.855289527	7.951810183	7.878152123	8.948209463	8.904034809	6.257870127	6.91958512	10.04334944
Solyc00g011170.1	11.81556724	12.30210511	12.59483823	12.30545133	12.7020382	12.22463154	12.38275142	12.36549944	12.40996583	11.96306169	11.96525956	12.05057025	12.34497876	11.88245117	12.36506768	12.6851845	12.22806039	11.95764078	12.19956275	12.11554999	12.41865275	12.42790297	12.2058408	12.13945542	12.08437608	12.09477268
Solyc00g011880.2	4.792190566	4.520329505	4.388760141	4.640334873	4.598171994	4.427742302	4.557651215	4.380417811	4.38478744	4.607846841	4.762608269	4.663148248	4.741667792	4.50286878	4.409483193	4.100659031	4.50286878	4.500356425	4.529200478	4.576374808	4.84216282	4.687559264	4.612914097	4.458752999	4.238698174	4.340692883
Solyc00g011890.2	6.576912947	5.758198752	4.777796338	5.090433685	5.319028122	6.174484507	6.276463629	4.80213036	6.453446991	6.116561192	5.700610149	5.881016512	5.624974543	5.518661282	6.198711925	4.805395821	4.892302987	6.305856101	5.682559022	5.075148043	5.631661595	5.795190173	6.87267133	7.065989251	7.047940932	5.975025169
Solyc00g012440.1	11.37196383	11.69989423	12.77746589	12.40384243	12.52001463	11.75416023	12.05946718	12.70035767	11.81920199	11.36084128	11.57801989	11.69289869	11.58860362	11.41264612	12.4395634	12.76884908	12.15901247	11.11081474	11.98176585	12.20554438	11.84371926	12.18154508	11.59254906	11.12081615	11.13964787	11.38660299
Solyc00g017530.1	3.068759755	3.167586717	3.948551722	3.905746244	3.104405249	2.969081327	3.157102665	3.126907745	3.180306132	2.859719607	3.148736001	3.001043269	3.019144222	3.064441735	3.047958965	3.840642123	3.278210337	3.055591306	3.060260647	3.4020377	3.112244781	3.058684821	3.087723328	3.068526038	3.08628925	2.98731508
Solyc00g019730.1	11.32846124	10.04086804	9.206768211	8.409611504	10.55141621	11.45608472	12.05704769	9.595374764	11.7360215	11.16742334	10.6054173	10.98969239	10.43361377	11.13366534	12.34521015	8.701627323	10.02591602	11.20256787	10.46446128	9.196938498	10.87579193	11.39022803	12.14353326	11.98261832	11.78864047	11.0343303
Solyc00g019740.1	9.270796323	7.959119266	8.260188528	8.444921893	8.734395802	9.045523996	9.662510178	8.486924088	9.749708321	8.932057652	8.275571594	8.743512829	8.345588457	8.909271546	10.08927054	8.93984156	8.023086421	9.288298572	8.272037917	8.028386173	8.274624313	8.99502081	9.798457229	10.67901374	10.39963253	8.77914654
Solyc00g024150.2	4.142809744	4.953447273	4.956882433	5.330642787	4.590832117	4.857624085	4.456291072	4.764181574	3.97626065	4.783544958	4.899150029	4.781041395	4.797678875	3.943747919	4.353564039	5.83935671	5.35975319	4.556202507	4.48131333	4.565253228	4.254468872	4.816729308	4.600045979	4.114380484	4.255849462	4.50957363
Solyc00g026160.2	9.773188065	8.424903211	10.2525646	8.697088961	8.520382896	6.673364729	6.905969635	7.615189463	9.081769271	6.736570165	7.644708541	7.013530646	8.449372616	6.984985814	6.736570165	7.006373297	5.761206184	8.704813204	9.462712123	8.17152003	7.095534234	7.04272205	7.06368938	8.790667252	9.38502557	7.226718888
Solyc00g027770.2	5.59247456	5.188185389	4.091010184	4.808283199	4.94877249	5.919356734	6.423586532	4.692934997	6.14337598	5.829948847	5.375768791	5.338731808	5.519610286	5.925871995	6.333732966	4.545809846	5.13333338	6.510763886	5.344381458	4.521821393	5.227668827	5.665787631	6.061905754	6.138369652	5.991504609	5.996523235
Solyc00g033460.2	2.607452415	2.781106078	3.145123996	3.108967167	2.713335109	2.559064366	2.55059533	2.73095671	2.665815796	2.69560131	2.618568878	2.609729783	2.614446551	2.497631007	2.57514817	3.088267595	2.745954309	2.578191338	2.453231337	2.75809066	2.65399689	2.63132205	2.605226172	2.373752358	2.612083989	2.565467534
Solyc00g036540.1	11.21515911	10.52227504	9.829526471	9.752757402	10.50004065	11.27099661	11.1796438	9.873388225	11.0524735	10.98889315	10.4820991	10.8261113	10.93378286	11.12187795	11.4392987	8.71602279	10.31105466	11.39818343	10.4031285	10.00708522	10.78516336	10.94401562	11.45554905	11.52746497	11.47789105	11.33376124
